,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,wqi
289,26.8,6.1,7.7,328.0,1.2,1.0,211.0,87.66
290,19.0,5.8,7.8,707.0,0.6,0.85,1100.0,76.42
291,21.4,6.1,8.0,674.0,0.9,1.0,1260.0,82.0399999999999
292,27.1,7.3,7.3,164.0,2.3,1.0,336.0,88.2
293,26.3,7.6,7.4,122.0,2.4,1.0,834.0,82.7599999999999
294,28.3,6.5,7.1,95.0,1.0,0.0,212.0,88.38
295,27.9,6.5,7.1,56.0,1.0,0.0,79.0,88.56
296,22.0,7.4,7.9,246.0,2.3,1.9,3900.0,82.4
298,24.0,6.8,7.8,59.0,1.0,1.0,1600.0,82.94
299,28.0,8.0,7.7,401.0,1.0,1.0,1600.0,82.0399999999999
300,28.0,8.0,8.2,1886.0,4.0,1.0,1600.0,77.36
301,28.0,7.0,8.2,742.0,5.0,1.0,1600.0,77.36
302,27.0,7.0,6.4,149.0,4.0,1.0,1600.0,61.58
303,27.8,6.7,7.5,1088.0,1.7,0.0,474.0,87.66
304,23.4,7.2,6.5,73.0,3.1,0.0,59.0,73.98
305,25.4,6.7,6.3,98.0,3.3,1.5,74.0,67.2
306,26.3,6.3,6.5,143.0,4.0,4.0,124.0,73.8
307,29.0,6.6,6.9,260.0,5.4,1.0,53.0,80.04
308,24.6,7.1,6.3,71.0,3.5,1.0,82.0,67.38
309,23.5,6.9,6.3,65.0,3.5,0.0,52.0,67.38
310,29.0,7.3,7.1,607.0,3.6,0.88,104.0,82.98
311,27.0,6.1,7.0,446.0,5.2,0.56,77.0,82.98
312,24.0,6.9,6.4,94.0,3.2,1.59,65.0,67.2
313,28.7,6.8,6.8,451.0,9.4,0.55,58.0,75.0
314,26.3,6.0,6.6,169.0,3.9,2.0,84.0,73.62
315,25.7,6.5,6.7,187.0,3.3,3.0,113.0,76.92
316,28.0,6.8,8.0,59.0,1.0,0.1,1600.0,82.94
318,30.7,4.8,7.6,295.0,0.8,0.0,9.0,82.4
319,20.3,7.1,7.5,293.0,1.3,0.0,19.0,93.64
320,20.7,7.1,7.5,316.0,1.4,0.0,22.0,93.28
321,20.8,6.6,7.5,274.0,1.6,0.0,24.0,93.64
322,28.0,4.9,8.3,603.0,1.0,0.0,5.0,87.66
323,23.4,5.5,7.4,138.0,0.8,0.0,6.0,88.38
324,25.3,5.5,8.1,625.0,1.1,0.0,6.0,87.66
325,31.1,5.0,7.3,305.0,1.7,0.0,12.0,82.04
326,26.3,5.6,8.1,552.0,1.1,0.0,6.0,87.66
327,22.0,7.3,7.3,402.0,2.1,0.0,32.0,93.28
328,24.4,7.2,7.3,99.0,2.2,1.0,57.0,88.38
329,23.7,7.2,7.4,102.0,2.2,1.0,56.0,88.38
330,24.6,7.6,7.2,72.0,1.8,2.56,57.0,88.56
331,23.1,7.1,7.5,131.0,2.2,3.2,413.0,88.38
332,18.2,7.3,7.1,47.0,1.3,2.0,48.0,94.18
333,18.8,7.6,7.2,52.0,1.2,2.0,36.0,94.18
334,23.8,8.0,6.9,64.0,1.8,3.38,49.0,90.88
335,17.8,7.9,7.3,46.0,1.4,1.0,29.0,94.18
336,18.7,7.4,7.2,53.0,1.9,3.0,32.0,94.18
337,18.8,7.7,7.2,55.0,1.6,3.0,63.0,88.56
338,22.6,7.1,6.5,237.0,3.8,4.56,1072.0,67.82
339,25.2,7.8,7.2,50.0,1.6,1.77,41.0,94.18
340,24.8,7.3,7.3,71.0,2.0,2.66,47.0,94.18
341,19.9,7.3,7.0,91.0,1.8,3.3,45.0,94.0
342,20.7,7.4,7.1,49.0,1.7,2.44,42.0,94.18
343,20.6,6.5,7.1,99.0,2.7,3.56,2722.0,82.7599999999999
344,17.7,5.8,6.9,68.0,3.1,4.9,463.0,74.96
345,17.9,6.9,7.2,44.0,1.4,2.66,33.0,94.18
346,23.9,7.8,7.3,93.0,1.9,2.99,444.0,88.38
347,18.0,6.6,7.0,66.0,2.3,4.0,63.0,88.56
348,18.4,7.6,7.1,53.0,1.7,3.0,53.0,88.56
349,18.8,7.8,7.0,47.0,1.4,2.0,35.0,94.18
350,24.8,7.7,7.4,128.0,1.6,3.32,56.0,88.38
351,19.3,7.1,7.0,54.0,1.8,2.58,43.0,94.18
352,20.6,7.4,7.0,69.0,1.6,3.3,87.0,88.56
353,20.7,7.5,7.2,58.0,1.6,2.25,46.0,94.18
354,17.6,7.2,6.9,55.0,1.7,3.04,56.0,85.26
355,22.7,7.9,7.1,55.0,1.2,3.55,50.0,94.18
356,17.9,6.9,6.9,52.0,2.2,3.48,45.0,90.88
357,23.7,7.2,7.1,107.0,6.7,5.56,476.0,79.02
358,22.7,7.5,7.0,82.0,2.1,3.02,122.0,88.38
359,23.6,7.1,7.5,189.0,1.9,1.0,1600.0,82.58
360,23.8,7.0,7.6,197.0,1.8,1.0,1600.0,82.58
361,23.5,7.2,7.9,158.0,1.9,0.95,1600.0,82.58
362,23.5,6.5,7.8,161.0,1.8,0.99,1600.0,82.58
363,27.4,6.6,7.7,165.0,1.7,0.0,325.0,88.2
364,21.9,6.7,7.8,167.0,4.8,1.0,520.0,77.9
365,27.5,6.6,7.7,183.0,3.7,1.55,575.0,77.9
366,31.0,7.1,7.8,151.0,8.0,0.08,1600.0,73.22
367,28.0,7.2,7.4,319.0,0.7,0.18,10.0,93.28
368,27.0,6.2,8.4,894.0,9.0,0.38,350.0,78.3
369,29.0,2.4,7.6,1500.0,6.2,1.31,13.0,55.82
370,31.0,5.9,7.2,52.0,2.1,0.08,90.0,82.94
371,30.0,6.1,6.8,408.0,1.3,0.17,3808.0,78.74
372,29.0,5.4,7.2,60.0,1.5,0.08,2309.0,77.32
373,29.0,5.8,7.2,34.0,5.3,0.17,3322.0,72.64
375,28.0,6.4,6.7,175.0,1.3,0.1,3636.0,75.98
379,28.0,6.8,6.6,71.0,1.5,0.14,3949.0,73.04
380,28.0,7.0,6.8,503.0,1.6,0.66,2404.0,78.74
382,29.0,7.1,6.8,70.0,0.8,0.17,3567.0,79.64
383,30.0,7.3,6.8,69.0,1.2,0.12,2446.0,79.64
384,28.0,6.7,6.6,118.0,1.0,0.22,3496.0,72.86
385,28.0,7.4,6.8,80.0,1.3,0.06,1404.0,79.46
387,28.0,6.1,6.9,74.0,1.8,0.19,3937.0,79.64
388,30.0,5.9,7.3,44.0,1.6,0.14,2794.0,77.32
389,31.0,4.0,6.8,207.0,1.8,0.34,2280.0,62.42
390,29.0,5.4,7.6,40.0,1.6,0.07,1330.0,77.32
391,30.0,5.3,7.6,41.0,1.4,0.08,2517.0,77.32
392,29.0,7.0,6.9,54.0,0.8,0.21,3059.0,79.64
393,29.0,5.9,7.7,44.0,2.1,0.08,831.0,77.32
394,29.0,6.9,7.7,99.0,3.3,0.56,123.0,83.7
395,30.0,6.6,7.9,123.0,3.2,0.52,104.0,83.7
396,27.0,6.6,7.7,220.0,3.6,0.65,77.0,83.52
397,27.0,6.8,7.7,219.0,3.4,0.63,75.0,83.52
398,23.0,6.4,8.0,493.0,4.2,3.91,68.0,82.98
399,29.0,6.8,7.6,100.0,3.0,0.54,295.0,88.38
400,29.0,6.7,7.5,316.0,4.6,0.6,132.0,82.98
401,29.0,6.9,7.7,84.0,3.1,0.42,168.0,83.7
402,28.0,6.9,7.9,312.0,2.7,1.58,107.0,87.66
403,29.0,6.8,7.5,146.0,3.0,0.6,241.0,88.38
404,29.0,6.7,7.3,127.0,2.9,0.59,209.0,88.38
405,29.0,5.6,6.9,432.0,4.5,1.72,173.0,74.06
406,29.0,6.5,7.3,126.0,3.0,0.59,284.0,88.38
407,30.0,7.1,7.5,128.0,3.0,0.6,297.0,88.38
408,30.0,6.4,7.3,129.0,3.1,0.6,191.0,83.7
409,29.0,6.9,7.7,129.0,2.9,0.55,268.0,88.38
410,25.0,7.0,7.9,153.0,2.9,0.55,86.0,88.2
411,30.0,6.9,7.7,307.0,2.8,3.6,123.0,87.66
412,31.0,6.3,7.7,322.0,3.5,1.1,116.0,82.98
413,28.0,6.5,8.1,1907.0,4.0,0.55,115.0,82.98
414,28.0,7.0,8.0,1896.0,3.5,0.64,245.0,82.98
415,28.0,7.0,8.0,206.0,2.9,0.56,74.0,88.2
416,27.0,6.8,7.8,239.0,3.3,0.56,77.0,83.34
417,27.0,6.4,7.6,152.0,3.2,0.96,142.0,83.52
418,26.0,6.7,7.7,146.0,3.0,0.89,73.0,88.38
419,27.0,6.7,7.6,137.0,2.9,0.76,64.0,88.38
